Company Name,Website URL,Founders,Founder Emails,Pages Crawled,Confidence Score,Extraction Method,Data Found
Unknown,https://www.vic.ai/about-us,,,1,0.00,Error,❌
Unknown,https://fintechmeetup.com/home,,,1,0.00,Error,❌
Unknown,https://www.rochesterfirst.com/business/press-releases/accesswire/1051115/cnbc-names-mylo-to-worlds-top-insurtech-companies-2025,,,1,0.00,Error,❌
Unknown,https://ff.co/founders-insights/,,,1,0.00,Error,❌
Unknown,https://digitaldefynd.com/IQ/top-countries-to-build-career-in-fintech/,,,1,0.00,Error,❌
Unknown,https://aiforgood.itu.int/meet-the-team/,,,1,0.00,Error,❌
Unknown,https://builtin.com/awards/us/2025/best-startup-places-to-work,,,1,0.00,Error,❌
Unknown,https://fi.co/graduates,,,1,0.00,Error,❌
Unknown,https://www.primary.vc/firstedition/posts/focal-fintech-25-startups-to-watch/,,,1,0.00,Error,❌
Unknown,https://www.businessinsider.com/15-most-promising-ai-powered-fintech-startups-according-top-vcs-2024-11,,,1,0.00,Error,❌
Unknown,https://business.cornell.edu/hub/2025/05/19/helping-fintech-startups-scale-up-qa-with-vanessa-di-frances-mba-22/,,,1,0.00,Error,❌
Unknown,https://www.napier.ai/team,,,1,0.00,Error,❌
Unknown,https://shizune.co/investors/fintech-investors-middle-east,,,1,0.00,Error,❌
Unknown,https://www.ycombinator.com/companies/industry/travel,,,1,0.00,Error,❌
Unknown,https://startupgenome.com/contents/report/gser-2025_4786.pdf,,,1,0.00,Error,❌
Unknown,https://www.technyc.org/nyc-tech-snapshot-2025,,,1,0.00,Error,❌
